PLAN DE REGRESION — TC-172 / IM-1271 / PR 76
Item                                              | Tipo | Riesgo | Metodo de comprobacion                      | Veredicto
--------------------------------------------------|------|--------|---------------------------------------------|----------
T1 surveyAllowsClientOrg ahora devuelve true para  | Tec  | Alto   | Probar General NPS everyone y organization  | PASS
   specific_users: podria dejar pasar encuestas    |      |        | en dos organizaciones distintas             |
   generales a organizaciones que no corresponden  |      |        |                                             |
T2 generalSurveyScope marca specific_users global: | Tec  | Alto   | Activar una segunda General NPS y verificar | PASS
   podria permitir dos General NPS activas         |      |        | el 409; verificar que la de organizacion    |
                                                   |      |        | sigue exigiendo al menos una organizacion   |
T3 generalClientOrgId forzado a null: podria       | Tec  | Medio  | Crear, actualizar y reintentar fijarlo;     | PASS
   borrar el alcance de encuestas de organizacion  |      |        | comprobar que solo afecta a specific_users  |
T4 toPublicSurvey aplicado a respuestas publicas:  | Tec  | Medio  | Verificar que admin conserva el campo y que | PASS
   podria romper a un consumidor que lea el campo  |      |        | el resto de campos de la encuesta viajan    |
T5 El filtro nuevo en selectEligibleGeneralSurveys | Tec  | Medio  | Retraso por fecha de creacion y una         | PASS
   podria saltarse reglas de entrega               |      |        | respuesta por destinatario sobre audiencia  |
                                                   |      |        | manual                                      |
T6 Encuestas de feature con specific_users         | Tec  | Medio  | Positivo por ID, por email con otro casing, | PASS
   (IM-967) comparten el matcher                   |      |        | y negativo                                  |
T7 Suites completas del repo                       | Tec  | Bajo   | npm test server y client sobre ceae03b1     | PASS
S1 Secretos o credenciales en el diff              | Seg  | Alto   | grep de password/api key/secret/token/env   | PASS
S2 Inyeccion via audienceDetails                   | Seg  | Alto   | Revisar si el valor llega a una consulta    | PASS
S3 Exposicion de identificadores personales        | Seg  | Alto   | Comparar camino publico contra camino admin | PASS
S4 Dependencias vulnerables nuevas                 | Seg  | Medio  | Cambios en package.json / package-lock.json | PASS
S5 PII en los logs nuevos                          | Seg  | Medio  | grep de console.* en el diff                | PASS
S6 Control de acceso de las rutas de admin         | Seg  | Alto   | requireAdminAuth cubre /api/admin           | PASS
