TR-155 · IM-1161 / TC-142 · Matriz de regresión técnica + seguridad

Item                                              | Tipo | Riesgo | Método                                    | Veredicto
--------------------------------------------------|------|--------|-------------------------------------------|----------
Contrato de salida (35 col, 1 result set)         | Tec  | Alto   | diff de columnas base vs PR               | PASS
sales_order_only_membership2.sql (mismo archivo   | Tec  | Alto   | suite pos-purchase-membership-no-order    | PASS
  con reescrituras seekables, no migrado a staged)|      |        |                                           |
8 CTEs compartidos entre los dos archivos         | Tec  | Alto   | mutación en ambos sentidos                | PASS
executeQueryAsStream (no modificado)              | Tec  | Medio  | verificar 1 solo recordset                | PASS
Suite de regresión de queries completa            | Tec  | Medio  | npx jest query-regression                 | PASS
Suite completa del repo                           | Tec  | Medio  | npx jest + comparación contra merge-base  | PASS (fallo ambiental preexistente)
Hints de plan protegidos por test                 | Tec  | Alto   | mutación M1/M2                            | FAIL
Bloque DROP inicial protegido por test            | Tec  | Medio  | mutación M3                               | FAIL
parseTimeoutMs bordes protegidos por test         | Tec  | Alto   | mutación M12                              | FAIL
Timeout default > 1485 s                          | Tec  | Alto   | mutación M10                              | PASS
requestTimeout dentro de options                  | Tec  | Alto   | mutación M11                              | PASS
Premisa unicidad REVENUEID                        | Tec  | Alto   | safesql agregado en perfiles alcanzables  | PASS
Secretos / credenciales en el diff                | Sec  | Alto   | grep de patrones sobre el diff            | PASS
Inyección SQL por concatenación dinámica          | Sec  | Alto   | grep de concatenación + interpolación     | PASS
Parametrización de @dateFilterFrom/@dateFilterTo  | Sec  | Alto   | conteo en el diff                         | PASS
DDL alcanzando objetos no-temp                    | Sec  | Crít.  | parseo del .sql                           | PASS
Aislamiento de sesión (## globales)               | Sec  | Alto   | parseo del .sql                           | PASS
