IM-741 / TC-141 — matriz de regresión técnica + seguridad
Repo: Veevarts/MigrationAppBackend · main @ 11f95fab (PR #336) · 17 PRs de IM-741

Item                                                        | Tipo | Riesgo | Método                                              | Veredicto
------------------------------------------------------------|------|--------|-----------------------------------------------------|----------
T1 la regla de tiers ordena correctamente                    | Tech | Alto   | mutación: quitar cada tier, esperar fallo           | PASS
T2 normalizeName protege contra la raíz no reconocida        | Tech | Alto   | mutación: volver a match exacto                     | PASS
T3 llave de job independiente del intento                    | Tech | Alto   | mutación: reinyectar el attempt                     | PASS
T4 la guarda de 04t rechaza el centinela "null"              | Tech | Alto   | lectura del patrón + cobertura de las 4 formas      | PASS
T5 retry-once en ERROR retryable                             | Tech | Medio  | specs del adapter, ambos lados del predicado        | PASS
T6 stop-on-failure con not attempted distinguible            | Tech | Medio  | spec + lectura de package-install-result.ts         | PASS
T7 suite completa del repo (radio de impacto)                | Tech | Alto   | npx jest sobre main                                 | PASS
T8 spec seed ic-3-01 refleja el flujo entregado              | Tech | Medio  | lectura del seed vs corrida real                    | PASS
T9 NpspInstall-SM: estado real de ruteo                      | Tech | Medio  | lectura de las Choices de run-sm.asl.json           | PASS (con precisión)
T10 re-corrida idempotente contra org instalada              | Tech | Alto   | requiere disparar el installer contra org de prod   | FUERA DE ALCANCE
S1 secretos o credenciales en el diff                        | Sec  | Alto   | el ticket exige creds efímeras; lectura del adapter | PASS
S2 la api key nunca se persiste                              | Sec  | Alto   | lectura: se lee de Secrets Manager por invocación   | PASS
S3 orgId canonicalizado antes de llamar al servicio          | Sec  | Medio  | lectura de toCanonicalOrgId en submitInstall        | PASS
S4 ninguna escritura a org desde QA                          | Sec  | Alto   | auditoría de las acciones de esta corrida           | PASS
