Scenario 2 — Planned Installments ≥ Paid Installments (validation rule gate)

Dev PR body (safesql):
| Metric                                          | Pre-fix              | Post-fix | Verdict |
| RecurringType Fixed rows                        | 43 (via ENDDATE)     | 0        | PASS (dev, gate narrowed) |
| Planned installments 79 × 0 (Open type)         | mix (43 counts + 36 null) | 79 × 0 | PASS (dev) |
| Planned < Paid violations                       | > 0 (per ticket)     | 0        | PASS (dev, invariante) |
| RD2_NumberInstallmentsNotAllowedWhenOpen (RD2)   | > 0                  | 0        | PASS (dev) |
| Legacy Maximum_Donations = 50 violations         | 2                    | 0        | PASS (dev) |
| Phantom Opportunities minted (legacy insert)     | 627                  | 0        | PASS (dev) |

Cross-profile (dev):
| Tenant       | Fixed rows PRE | Fixed rows POST | Planned<Paid POST |
| illinois_2   | 43             | 0               | 0                 |
| longisland   | ~              | 0               | 0                 |
| high_desert  | ~              | 0               | 0                 |
