OWASP Top 10 (2021) applicability scan — PR #142 / IM-981

Surface: SQL-only query change in ticket_item_program.sql + 1 unit spec + 1 doc.
Base: main; Head: 5a42d5434989972cc6155a9cc8e397e9e176f794

| ID  | Risk                        | Applicable | Check method                                    | Verdict | Evidence / Justification |
|-----|-----------------------------|------------|-------------------------------------------------|---------|--------------------------|
| A01 | Broken Access Control       | No         | -                                               | N/A     | Backend SQL query only; no auth/RBAC/profile/route surface touched |
| A02 | Cryptographic Failures      | No         | -                                               | N/A     | No credential/PII/TLS/hashing surface touched |
| A03 | Injection                   | Yes        | grep for string-concat SQL in diff              | PASS    | New CTE `item_refund_summary` uses only static column names + parameter-free joins. Total-comparison branch uses only arithmetic on schema columns. No `+`-string concatenation. Grep returned 0 hits. |
| A04 | Insecure Design             | No         | -                                               | N/A     | Bug fix that tightens an existing status-derivation rule. No new business surface. |
| A05 | Security Misconfiguration   | No         | -                                               | N/A     | No config/env/CORS/headers/error-verbosity files touched |
| A06 | Vulnerable/Outdated Comps   | No         | git diff package.json package-lock.json         | N/A     | Diff shows 0 lockfile / manifest changes |
| A07 | Auth Failures               | No         | -                                               | N/A     | No login/session/MFA/token surface touched |
| A08 | Integrity Failures          | No         | -                                               | N/A     | No CI/CD, deserialization, plugin, or package-signing surface touched |
| A09 | Logging Failures            | No         | -                                               | N/A     | Query change does not touch logging config or add PII-carrying log statements |
| A10 | SSRF                        | No         | -                                               | N/A     | No new outbound HTTP calls introduced |

Summary: 1 Applicable + PASS (A03 Injection). 9 N/A. 0 Applicable + FAIL. 0 blockers.
