TR-145 / TC-135 — IM-774 · Matriz de regresión (técnica + seguridad)
PR MigrationToolETL#160 · head 4a441524 · base 9e15cc52
Planificada ANTES de ejecutar. Veredictos finales en regression-results.txt

Item                                                     | Tipo | Riesgo | Método de verificación                                            | Veredicto
---------------------------------------------------------|------|--------|-------------------------------------------------------------------|----------
T1 · Las 4 queries de ticketing siguen compilando/        | Tech | Alto   | `npm run test:queries` completo en el branch; comparar contra la  | TBD
     proyectando su column set previo                     |      |        | línea base declarada por el dev (393)                             |
T2 · Las 2 ramas del UNION ALL de ticketing.sql no         | Tech | Alto   | Spec de simetría (ordinal + literal idéntico); un mismatch de     | TBD
     divergen en tipo/ordinal (hazard IM-770)              |      |        | tipos se resuelve en silencio por precedencia                     |
T3 · El par del TicketingEventExtractor (only_event +      | Tech | Alto   | Spec de paridad de column set; comparten mapper y descriptor      | TBD
     direct_registrant) mantiene el mismo column set       |      |        |                                                                   |
T4 · El descriptor CSV no pierde columnas previas al       | Tech | Medio  | `ticketing-csv-descriptor.builder.spec.ts` — "keeps every header  | TBD
     añadir las 2 nuevas                                   |      |        | a row key, and every row key a header"                            |
T5 · `parseDate` (no-nullable) sigue intacto para los      | Tech | Medio  | Specs del mapper sobre visitorManagementDate / ticketDateDoNotMap | TBD
     campos preexistentes                                  |      |        |                                                                   |
T6 · Ningún otro query/pipeline del repo se ve afectado    | Tech | Medio  | Suite `query-regression` completa (52 suites) sin fallos nuevos   | TBD
T7 · `donation-transaction-recurring.spec.ts` falla        | Tech | Bajo   | Correr la suite en branch Y en base; debe fallar IGUAL en ambos   | TBD
     preexistentemente (declarado por el dev)              |      |        | o no fallar en ninguno                                            |
T8 · Lint y build siguen limpios                           | Tech | Bajo   | `npm run lint:check` + `npm run build`                            | TBD
T9 · Los guards nuevos NO son vacuos                       | Tech | Alto   | Revert-proof: revertir .sql y .ts a base ⇒ los specs deben FALLAR | TBD
T10 · El dato fuente soporta la nueva derivación           | Tech | Alto   | safesql tucson aggregate-only: cobertura de STARTDATETIME en las  | TBD
      (STARTDATETIME poblado en las filas Confirmed)       |      |        | reservas Confirmed ticket-backed                                  |
T11 · Los orgs destino aceptan la columna nueva            | Tech | CRÍTICO| `sf sobject describe Auctifera__Group_Reservation__c` en cada org | TBD
      (piso de versión Auctifera 8.317.0.2)                |      |        | alcanzable + `sf package installed list`                          |

S1 · Secretos / credenciales introducidos en el diff       | Sec  | Alto   | grep password/api_key/secret/token/bearer/.env/BEGIN sobre el diff| TBD
S2 · Inyección SQL por concatenación dinámica              | Sec  | Alto   | grep de concatenación/interpolación en TS y SQL cambiados         | TBD
S3 · Datos de cliente (PII) filtrados a artefactos QA      | Sec  | Alto   | safesql aggregate-only (solo COUNT); revisión de los adjuntos     | TBD
S4 · Dependencias nuevas o vulnerables                     | Sec  | Medio  | `git diff` sobre package.json / package-lock.json                 | TBD
S5 · Bypass de automatización de negocio (el core del PR)  | Sec  | Alto   | Alcance del flag: ¿se resetea?, ¿persiste en escrituras futuras?, | TBD
                                                           |      |        | ¿está gateado por permisos de campo?                              |
S6 · OWASP Top 10 (2021) — scan de aplicabilidad completo  | Sec  | Alto   | Ver owasp-top10-scan.txt                                          | TBD
