PLAN DE REGRESION · IM-1300 · TC-183 / TR-201 · escrito antes de ejecutar
=========================================================================

Radio del cambio: un predicado CASE en la rama 1 de membership_transactions.sql.
No cambia el WHERE, ni los joins, ni el grano, ni la rama 2.

Item                                              Tipo  Riesgo  Metodo                                   Veredicto
------------------------------------------------  ----  ------  ---------------------------------------  ---------
T1 grano de la salida                             Tec   Alto    conteo base vs PR, misma fuente          TBD
T2 columnas que no son la fecha fin               Tec   Alto    huella de 33 columnas base vs PR         TBD
T3 direccion de cada cambio                       Tec   Alto    lejana->real / real->lejana / vacias     TBD
T4 camino nuevo de por vida en otros clientes     Tec   ALTO    p1 en todas las fuentes alcanzables      TBD
T5 la rama 2                                      Tec   Medio   fechas lejanas antes/despues             TBD
T6 otras exportaciones con la misma fecha fin     Tec   ALTO    buscar productores en todo el repo       TBD
T7 el spec puede fallar                           Tec   Medio   mutaciones del predicado                 TBD
T8 la suite                                       Tec   Medio   npx jest, fallos comparados con la base  TBD
S1 inyeccion / SQL dinamico                       Seg   Bajo    diff                                     TBD
S2 datos personales en el PR y en la evidencia    Seg   Medio   barrido                                  TBD
S3 escrituras en la fuente                        Seg   Alto    todo INTO/CREATE/DROP va a #temp         TBD
