TR-148 / TC-109 · IM-1099 — Matriz de regresión (técnica + seguridad)
Planificada ANTES de ejecutar. Rama bajo prueba: epic/nps-survey-delivery-and-metrics @ 14bde9d2
Base de comparación: 737a62b6 · 6 PRs de survey-tool + 2 de AuctiferaDX + 1 de NFPFundraising

Item                                                  | Tipo | Riesgo | Método de verificación                                   | Veredicto
------------------------------------------------------|------|--------|---------------------------------------------------------|----------
T1 Entrega de surveys de FEATURE (no-general)         | Téc  | Alto   | eligibility en vivo sobre 4 features + suite apiBoundary | PASS
T2 Separación de modos general vs feature trigger     | Téc  | Alto   | mismo contexto contra ambos endpoints                    | PASS
T3 Render público de survey por id                    | Téc  | Medio  | GET /api/surveys/:id sobre 3 ids                         | PASS
T4 Endpoint público de eligibility general            | Téc  | Alto   | GET /api/surveys/general/eligible anónimo                | PASS
T5 Contrato apiBoundary lockeado por IM-963           | Téc  | Alto   | suite server (test "public/admin API boundary")          | PASS
T6 Suites completas server + client sobre la épica    | Téc  | Alto   | npm test en ambos paquetes                               | PASS
T7 Revert-proof: los tests caen con el código viejo   | Téc  | Alto   | revert de server/src a base, tests en la épica           | PASS
T8 Tracking de dismissals/impressions sin auth        | Téc  | Medio  | POST anónimo a ambos endpoints                           | PASS
T9 Export CSV respeta filtros del dashboard           | Téc  | Alto   | 7 combinaciones de filtro contrastadas contra el conteo  | PASS
S1 Secretos/credenciales en el diff                   | Seg  | Crítico| grep sobre el diff completo base..head                   | PASS
S2 Inyección SQL por concatenación                    | Seg  | Crítico| grep de sql`` interpolado / query(+ / raw( en el diff    | PASS
S3 Rutas nuevas: ¿alguna abre superficie admin?       | Seg  | Crítico| inventario de endpoints nuevos por router                | PASS
S4 Lockdown de /api/admin/* para anónimos             | Seg  | Crítico| 7 probes anónimos incluido el export.csv NUEVO           | PASS
S5 console.log que filtren datos de usuario           | Seg  | Medio  | conteo de console.* agregados en el diff                 | PASS
S6 Dependencias nuevas / supply chain                 | Seg  | Alto   | diff de los 3 package.json                               | PASS
S7 Exposición de datos en el endpoint público         | Seg  | Bajo   | inspección del payload servido a un anónimo              | HALLAZGO (ya abierto en TR-146)
