TC-151 / IM-1200 — resultados de la matriz de regresion (2026-08-20)

Item                                               | Verdict | Evidencia
---------------------------------------------------+---------+---------------------------------------------------------------
donation_pledges.sql intacto                       | PASS    | PR #170 files: solo 2 SQL (pledge POS + charge) + 3 specs + fixture
POS queries hermanos intactos                      | PASS    | idem; suite 553 PASS incluye donation-pledges-query.spec.ts y pledge-query-chain-verifier.spec.ts
charge_without_order: solo familia 3 cambia        | PASS    | diff: CTE PledgeTransactions + comentarios; 22 tests spec PASS
Suite query-regression completa en branch          | PASS    | 553 passed / 151 skipped (gateados por env), exit 0, 14.0s
Conservacion pledge POS tucson                     | PASS    | pre_total = post_total = 6,231,118.21; dupes 0; new_rows_nonzero 0
Baselines charge_without_order por tenant          | PENDIENTE | safesql del wrapper charge bloqueado por permisos del harness; contrato cubierto por 22 tests
Hazard corrida windowed                            | DOCUMENTADO | fuera de scope PR #170; validacion de este fix corre unwindowed; requiere ticket aparte
Secretos/credenciales en el diff                   | PASS    | 0 hallazgos; MSSQL_SA_PASSWORD del spec es efimera (randomUUID) en container de test
Inyeccion SQL                                       | PASS    | queries estaticos; params via bindDateFilterParams; sin concatenacion dinamica
Dependencias vulnerables                           | PASS    | 0 cambios en package.json/package-lock.json
RBAC / PII                                          | PASS    | sin superficie de auth/PII; wrappers QA solo agregados numericos
