TR-194 / TC-176 — matriz de regresion planificada ANTES de ejecutar nada.
Superficie del cambio: BE 379/385/388/390 (NestJS + SQL) y FE 195/196/197/199/200/201/202.

Item                                              Tipo  Riesgo  Metodo                                          Veredicto
T1 tablero: los seis movimientos aplican          Tec   Alto    arrastre real + harness contra Postgres real    TBD
T2 movimiento que falla revierte y avisa          Tec   Alto    fetch interpuesto con 503 + mirar la tarjeta     TBD
T3 el movimiento PERSISTE, no solo se pinta       Tec   Alto    recargar y releer del servidor                   TBD
T4 crear sin cuenta no rompe el dueno             Tec   Alto    POST real + releer la fila                       TBD
T5 view-as no desvia la tarea al manager          Tec   Alto    recorrer las listas de los 11 CSMs               TBD
T6 filtros recortan en el servidor                Tec   Medio   comparar peticiones y conteos                    TBD
T7 borrado suave conserva la vuelta               Tec   Medio   ciclo completo + conteos por pestana             TBD
T8 la sugerencia convertida sigue viva            Tec   Medio   identidad de id entre TR-193 y hoy               TBD
T9 no se creo caso de Salesforce al operar        Tec   Medio   sfCaseId de las filas creadas                    TBD
T10 la cola de otro CSM no se toca                Tec   Alto    igual que T5                                     TBD
T11 suites del equipo siguen verdes               Tec   Medio   vitest FE + jest BE + harness                    TBD
T12 el harness PUEDE fallar                       Tec   Alto    mutacion M1: revertir el PR 390                  TBD

S1 sin secretos en el diff                        Seg   Alto    grep sobre el rango completo                     TBD
S2 sin concatenacion de entrada en SQL            Seg   Alto    leer el adaptador: valores ligados vs clausula   TBD
S3 sin dependencias vulnerables NUEVAS            Seg   Alto    npm audit + comparar con el merge-base           TBD
S4 el filtro por cuenta no permite ver otra cola  Seg   Alto    ownerId obligatorio + accountId validado          TBD
S5 sin XSS por titulo/descripcion libres          Seg   Medio   buscar dangerouslySetInnerHTML en el diff FE     TBD
