TC-175 / TR-193 — matriz de regresion tecnica y de seguridad
=============================================================
Planificada antes de ejecutar; veredictos llenados despues.

  item                                                | tipo     | riesgo | metodo                        | veredicto
  ----------------------------------------------------|----------|--------|-------------------------------|----------
  1. Convertir no crea caso de Salesforce              | tecnica  | alto   | traza de red en vivo          | PASS
  2. La fila conserva sus 23 campos                    | tecnica  | alto   | diff campo por campo           | PASS
  3. La identidad de la fila se mantiene               | tecnica  | alto   | comparacion de id              | PASS
  4. Las fuentes sobreviven y siguen navegables        | tecnica  | alto   | harness + UI en vivo          | PASS
  5. La tarea entra por la columna de pendientes       | tecnica  | medio  | tablero en vivo               | PASS
  6. La cola de otro CSM no se mueve                   | tecnica  | medio  | conteos antes/despues          | PASS
  7. Convertir dos veces / sobre declinada falla       | tecnica  | medio  | API en vivo                    | PASS
  8. Declinar sigue funcionando tras el cambio         | tecnica  | medio  | API en vivo (decline+restore)  | PASS
  9. El panel y las pestañas recalculan bien           | tecnica  | bajo   | conteos en la UI               | PASS
  10. Convertir es irreversible                        | tecnica  | medio  | tres caminos de vuelta         | CONFIRMADO (no es defecto)
  ----------------------------------------------------|----------|--------|-------------------------------|----------
  S1. Autorizacion por owner en /csm/tasks             | seguridad| alto   | revision + sesion admin        | ABIERTO, preexistente
  S2. PII en la evidencia de QA                        | seguridad| alto   | revision de lo que se guarda   | PASS
  S3. El chip de fuente abre solo lo que referencia    | seguridad| medio  | observacion del modal          | PASS
  S4. Secretos en el diff o en la evidencia            | seguridad| alto   | revision                       | PASS
