Id,Name,Auctifera__Store_Default_Location__c,Auctifera__Capacity__c,Auctifera__Available_for_Rent__c,Auctifera__GL_Code__c,Auctifera__Tax_GL_Code__c
a1cWI00000GyZmTYAV,ilholocaustmuseum--trainings (Replace this by your company name) Location,true,,false,RENTALS,RENTAL TAXES
a1cWI00000Gyhs5YAB,E360,false,500,true,RENTALS,RENTAL TAXES
a1cWI00000GyhvJYAR,E720 4th Floor Meeting Hall,false,374,true,RENTALS,RENTAL TAXES
a1cWI00000GykI5YAJ,E720 VR,false,20,true,RENTALS,RENTAL TAXES
a1cWI00000HJ5a5YAD,E720 Retail Shop,false,,true,RENTALS,RENTAL TAXES
a1cWI00000HJ5i9YAD,E720 Mini Karkomi,false,40,true,RENTALS,RENTAL TAXES
a1cWI00000HJ5jlYAD,E720 SOS,false,60,true,RENTALS,RENTAL TAXES
a1cWI00000HJ5lNYAT,E720 Hologram,false,60,true,RENTALS,RENTAL TAXES
a1cWI00000HJ5mzYAD,E720 Mural Hall,false,30,true,RENTALS,RENTAL TAXES
a1cWI00000HJ5tRYAT,E720 Admissions Lobby/Secuirty,false,,true,RENTALS,RENTAL TAXES
a1cWI00000HJ8mTYAT,E720 Board Room,false,18,false,RENTALS,RENTAL TAXES
a1cWI00000HPKrNYAX,E720 Green Room,false,10,true,RENTALS,RENTAL TAXES
a1cWI00000HfBwBYAV,E720 Custom,false,,false,RENTALS,RENTAL TAXES
a1cWI00000HfETRYA3,E720 Custom,false,500,true,RENTALS,RENTAL TAXES
