PLAN DE REGRESION — TC-173 / IM-1233 / PRs 195, 196, 197
Item                                               | Tipo | Riesgo | Metodo                                      | Veredicto
---------------------------------------------------|------|--------|---------------------------------------------|----------
T1 El colapso podria no ser real en navegador,      | Tec  | Alto   | getComputedStyle en el entorno desplegado,  | PASS
   como ya paso una vez                             |      |        | en las dos superficies                      |
T2 Una clave compartida entre superficies volveria  | Tec  | Alto   | Abrir en una cuenta y comprobar My Day y la | PASS
   a filtrar el estado                               |      |        | otra cuenta; leer las tres claves           |
T3 El inicializador perezoso del hook podria        | Tec  | Medio  | Cambio de ruta por cliente entre dos        | PASS
   arrastrar el estado al cambiar de cuenta         |      |        | cuentas, en los dos sentidos                |
T4 Expandir podria recargar o perder estado         | Tec  | Medio  | Marca en window + contador de navegaciones, | PASS
                                                    |      |        | con control negativo                        |
T5 Un fallo de almacenamiento podria romper la      | Tec  | Medio  | Inyectar SecurityError en getItem/setItem   | PASS
   pantalla o abrir el panel por defecto            |      |        | sobre el codigo desplegado                  |
T6 Las suites del repo podrian estar rotas          | Tec  | Bajo   | vitest sobre 403ab82 en worktree aislado    | PASS
T7 La suite podria no detectar el defecto historico | Tec  | Alto   | Reintroducir el bug y volver a correr       | FALLA LA SUITE
                                                    |      |        |                                             | (ver O1)
S1 Secretos o credenciales en el diff               | Seg  | Alto   | grep sobre el diff de src/features/csm      | PASS
S2 HTML sin sanitizar introducido                   | Seg  | Alto   | grep de dangerouslySetInnerHTML / innerHTML | PASS
S3 Datos sensibles en almacenamiento del navegador  | Seg  | Medio  | Inventario de claves escritas y su contenido| PASS
S4 Dependencias vulnerables nuevas                  | Seg  | Medio  | Cambios en package.json / package-lock.json | PASS
S5 URLs de origen no confiable renderizadas         | Seg  | Alto   | Revisar la guarda de URL externa            | PASS
