Regression plan — IM-1251 / TC-160 / TR-177 / PR Veevarts/survey-tool 72
=========================================================================
Clasificacion: Backend/API + Frontend (mixed). El PR agrega el endpoint
GET /api/admin/analytics/respondent-engagement, un agregador puro nuevo, lecturas scoped en el
store de DynamoDB y una tab Engagement en el Dashboard. +929/-8 en 12 archivos.
Merge commit 6caf29a sobre `develop`; PRE-fix 63402286.

| # | Item | Type | Risk | Check method | Verdict |
|---|------|------|------|--------------|---------|
| T1 | El endpoint nuevo no altera los endpoints de analytics preexistentes (summary, responses) | Technical | High | diff de analytics.ts (solo adiciones) + suite server completa | ver regression-results.txt |
| T2 | Suite de server sin regresion | Technical | High | npm test --prefix server en el commit del PR | ver regression-results.txt |
| T3 | Suite de client sin regresion | Technical | High | npm test --prefix client en el commit del PR | ver regression-results.txt |
| T4 | El cableado de rutas y de auth no cambia | Technical | Critical | git diff sobre server/src/index.ts y server/src/lib/auth.ts (esperado: intactos) | ver regression-results.txt |
| T5 | El store gana lecturas sin romper las existentes | Technical | Medium | diff de dynamodbStore.ts (adiciones) + sus tests | ver regression-results.txt |
| T6 | El Dashboard preexistente (Summary, Responses) sigue igual | Technical | Medium | diff de DashboardPage.tsx y dashboard.ts + tests de cliente | ver regression-results.txt |
| T7 | Grain: una fila por respondent, sin fan-out al combinar fuentes | Technical | High | tests QA propios sobre el agregador + apiBoundary end-to-end | ver regression-results.txt |
| T8 | Aislamiento entre organizaciones y surveys | Technical | High | tests QA (dos orgs) + apiBoundary (00d-demo vs 00d-other) | ver regression-results.txt |
| T9 | Alcance declarado fuera de scope no invadido | Technical | Medium | grep del diff: Salesforce sync, LastLoginDate, otros repos | ver regression-results.txt |
| S1 | Secretos o credenciales en el diff | Security | High | grep password/key/token/secret/BEGIN sobre el diff | ver regression-results.txt |
| S2 | Superficie de inyeccion en las consultas nuevas | Security | Critical | inspeccion de las expresiones DynamoDB (parametrizadas vs interpoladas) | ver regression-results.txt |
| S3 | Control de acceso del endpoint nuevo | Security | Critical | montaje del router + ejecucion en vivo sin credenciales y con cookie falsificada | ver regression-results.txt |
| S4 | Fuga de PII en la respuesta del endpoint | Security | Medium | inspeccion del shape devuelto (que campos expone por respondent) | ver regression-results.txt |
| S5 | Dependencias vulnerables | Security | High | npm audit + verificacion de si el PR toca package*.json | ver regression-results.txt |
| S6 | OWASP Top 10 applicability scan | Security | — | ver owasp-top10-scan.txt | ver owasp-top10-scan.txt |
