TR-170 · TC-153 (IM-1205) · Regression plan

Change scope: SQL-only fix to fund_assignment_memberships.sql
  - Two CTEs get a projected `OwnFinancialTransactionID` column (`FINANCIALTRANSACTIONID`).
  - Main SELECT: `Auctifera__Posted_Date__c` gets a 4-tier COALESCE with `own_ft.CALCULATEDDATE`
    inserted at position #2 (after rgi.InstallmentDate, before rmft.FinancialTransactionDate).
  - New `LEFT JOIN FINANCIALTRANSACTION own_ft` on the new column.
  - Split-receipting branch: same anchoring; new `WindowDate` column separates emitted date
    from inclusion-gate date (Round-1 finding fix).
  - WHERE window filter: `ranked.PostedDate` → `ranked.WindowDate`.

Technical regression matrix
| Item                                                                  | Type | Risk   | Check                                             | Verdict |
|-----------------------------------------------------------------------|------|--------|---------------------------------------------------|---------|
| Grain preserved (own_ft LEFT JOIN 1:1 with mli)                       | Tech | High   | Diff review: FINANCIALTRANSACTION.ID is PK        | PASS    |
| Row grain of MembershipLineItems unchanged (col addition only)         | Tech | Med    | Diff: only column added, no filter change          | PASS    |
| Inclusion gate unchanged (Round-1 fix: separate WindowDate column)     | Tech | High   | Static spec pins WindowDate presence               | PASS    |
| rgi.InstallmentDate still wins (IM-904 preservado)                    | Tech | High   | rgi is COALESCE position #1 in main & split       | PASS    |
| Fallback chain complete: 4-tier ends at mt.TRANSACTIONDATE            | Tech | Med    | Diff: mt.TRANSACTIONDATE is #4                    | PASS    |
| Static specs pin the new COALESCE + WindowDate                        | Tech | High   | jest 34/34 PASS on PR branch                       | PASS    |
| Revert-proof (5 specs fail when own_ft removed)                       | Tech | High   | Manual revert + jest: 5 FAIL / 29 PASS             | PASS    |
| Full query-regression suite                                           | Tech | High   | npm test query-regression: 558/558 PASS            | PASS    |
| Docker integration (41 live-db tests including IM-1205 group)         | Tech | Med    | RUN_DOCKER_SQL_QUERY_TESTS=1: DEFERRED locally    | DEFERRED|
|                                                                       |      |        | (colima startup >60s + resource contention;       |         |
|                                                                       |      |        | dev PR body: 41/41 PASS)                          |         |
| safesql aggregate wrapper on tucson                                   | Tech | Med    | Bastion 98.95.60.135:22 DOWN this session         | DEFERRED|
|                                                                       |      |        | (dev PR body: LI 33, Tucson 17, HD 20, IL 4)      |         |
| Other consumers of ResolvedMembershipFinancialTransactions            | Tech | Med    | git grep in the same file — ONLY this file uses it | PASS    |
| fund_assignment_donations.sql (donation counterpart)                  | Tech | Low    | Diff: NOT changed; PR body says "already uses     | PASS    |
|                                                                       |      |        | this convention"                                  |         |
| CloseDate in membership_transactions.sql (out of scope but flagged)   | Tech | Info   | PR body: still uses old resolver, 10 LI rows      | INFO    |
|                                                                       |      |        | dated on refund — dev requests stakeholder call   |         |

Security regression matrix
| Item                                             | Type | Risk | Check                                          | Verdict |
|--------------------------------------------------|------|------|------------------------------------------------|---------|
| SQL injection surface                             | Sec  | Low  | Diff: no new param/interpolation               | PASS    |
| Secret / credential leak                          | Sec  | Low  | Diff review + no *.env/*key touched            | PASS    |
| PII exposure                                      | Sec  | Low  | safesql redacts strings; only dates + counts   | PASS    |
| RBAC / auth surface                               | Sec  | N/A  | No auth code touched                           | N/A     |
| Dependency addition                               | Sec  | N/A  | package.json untouched                         | N/A     |
