COMPARISON MATRIX — TC-130 / TR-140 — IM-1083 IC 3.04 v3 (PR #255)
Change-type: CODE PR spec-only, reused ops. No PRE/POST org bundle (no live run); primary evidence = code+gates.

Scenario | AC | What it proves | Method | Result | Objective met?
---------|----|----------------|--------|--------|---------------
1 | AC1 | Auto-assign when license present: each clone -> all active Standard users, idempotent, verify+COMPLETES | read step4 apex (licensed branch); licensed path not observable in dev | PASS (code) / live PENDING-CREDS | YES (code); live deferred
2 | AC2 | License-absent DEFER-not-fail + NON-license still FAILS (symmetry) | read step4: SaveResult+catch(DmlException) branches; dev-proven CamiloDevOrg both DEFER | PASS | YES
3 | AC3 | Dynamic PSL detection via query, no hardcoded id | read step4 detection block (LicenseId -> PermissionSetLicense) | PASS | YES
4 | AC4 | Guided MANUAL license handoff (structured guide) / quick verify-and-confirm | parse step5 guide; spec.ts assertion 7 | PASS | YES
5 | AC5 | Admin rename org-agnostic (Username-targeted, 3 fields, client-name token, idempotent+verify) | read step1 apex; spec.ts assertion 4 | PASS | YES
6 | AC6 | My Domain stays MANUAL handoff (no API path, myDomainName input) | parse step6; spec.ts assertion 8 | PASS | YES
7 | AC7 | Version lockstep v3 + 6-step order + spec-only reused ops + tsc/jest/eslint | gates + op-reuse audit | PASS | YES

VERDICT: 7/7 PASS, 0 defects. 1 live item PENDING-CREDS (AC1 licensed auto-assign) — code-proven, never PASS/FAIL early.
