OWASP TOP 10 (2021) · TR-204 · IM-1207
A01 Broken Access Control      | Aplica | PASS | 401/404 sin credenciales; guard de grupos; mutaciones de instancia por csm-team es decision registrada (2026-09-10).
A02 Cryptographic Failures     | N/A    | -    | El ticket no cifra ni guarda secretos; los tokens de Cognito los valida el guard existente (ver A07).
A03 Injection                  | Aplica | PASS | Compilador de condiciones: bind() para valores, identifier() con lista blanca para columnas.
A04 Insecure Design            | Aplica | FAIL | F1: la activacion con backfill apagado enrola eventos previos a la jugada, contra lo que el aviso y la API afirman, sin cortacircuitos que rechace. Severidad media (regla A04).
A05 Security Misconfiguration  | Aplica | PASS | Programaciones fijadas explicitamente (PR 391); rutas sin credenciales cerradas. deploy.yml sin concurrency queda como observacion O2 (no es config de seguridad).
A06 Vulnerable Components      | Aplica | PASS | Sin dependencias nuevas vulnerables; las existentes ya estaban en stable (O13).
A07 Auth Failures              | Aplica | PASS | JWT falso -> 401 "Invalid token"; sin token -> 401.
A08 Software/Data Integrity    | Aplica | PASS | dedupe_key unico y CHECK blocked_by en el log; el despliegue manual sin commit registrado queda como O1 (proceso previo, no introducido por el PR).
A09 Logging & Monitoring       | Aplica | PASS | Log de evaluacion con traza completa; recibo de activacion sin sombra; racha de abstencion observable. Legibilidad del log en F2 (funcional, no de seguridad).
A10 SSRF                       | N/A    | -    | Las llamadas nuevas a orgs de cliente usan instanceUrl del mapeo interno, no una URL que aporte el usuario.
Resumen: 8 aplican · 7 PASS · 1 FAIL (A04, media) · 2 N/A
