TR-171 · TC-154 (IM-1211) · Regression plan

Change scope: SQL-only fix to rental_events_groups.sql
  - ReservationNotes CTE now includes both TEXTNOTE + TITLE (WHERE gate widened; STRING_AGG uses
    WITHIN GROUP for reproducibility; each fragment HTML-escaped with 6-deep REPLACE).
  - New ItineraryItemNotes CTE (pre-aggregates ITINERARYITEM.NOTES per RESERVATIONID via ITINERARY
    join; STRING_AGG with WITHIN GROUP).
  - Main SELECT: Auctifera__Description__c replaced by NULLIF(CONCAT_WS('<br>', ...)) merging 4
    labelled sources — SALESORDER.COMMENTS ("Important notes:"), rn.concatenatedNotes ("Reservation
    notes:"), r.ARRIVALNOTES ("Arrival notes:"), iin.concatenatedItemNotes ("Itinerary notes:").
    CONCAT_WS drops NULL args; 'label: ' + NULL = NULL; outer NULLIF leaves empty when none.
  - New LEFT JOIN ItineraryItemNotes iin ON iin.RESERVATIONID = r.ID.
  - +67 lines of header comments documenting Notes contract, HTML-escape contract, cast contract,
    hand-running gotchas, re-run behaviour.

Technical regression matrix
| Item                                                                          | Type | Risk | Check                                             | Verdict |
|-------------------------------------------------------------------------------|------|------|---------------------------------------------------|---------|
| Row grain (1:1 Reservation -> Rental Event; ItineraryItemNotes pre-aggregated) | Tech | High | Static spec pins pre-aggregation                  | PASS    |
| CONCAT_WS drops NULL args (labelled merge semantics)                          | Tech | High | Static spec: 'catches a COALESCE regression that would drop sources' | PASS |
| Label order is deterministic (Important -> Reservation -> Arrival -> Itinerary)| Tech | Med  | Diff review: order in CONCAT_WS literal            | PASS    |
| HTML escape order (& first, then < and >, then newlines -> <br>)              | Tech | High | 6-deep REPLACE nest per source (5 places); static spec | PASS |
| STRING_AGG ordering (WITHIN GROUP) for reproducibility                        | Tech | Med  | Static spec: 'catches unordered STRING_AGG rollup'| PASS    |
| NVARCHAR(MAX) CAST on every fragment (STRING_AGG 8000-byte ceiling + IM-770)  | Tech | Med  | Diff review: CAST inside every REPLACE nest        | PASS    |
| Outer NULLIF returns empty when no source has content                         | Tech | Med  | Static spec: 'leaves the description empty when no source has content' | PASS |
| WHERE gate widening (TITLE OR TEXTNOTE non-empty)                             | Tech | Med  | Diff review + static spec: 'admits a title-only note' | PASS |
| Static specs (37/37 including 13 new IM-1211)                                 | Tech | High | jest static: 37/37 PASS on PR branch               | PASS    |
| Revert-proof (5 specs fail when merge reverted)                               | Tech | High | Manual revert + jest: 5 FAIL / 32 PASS             | PASS    |
| Full query-regression suite (580 tests)                                       | Tech | High | npm test query-regression: 580 PASS                | PASS    |
| Docker integration                                                            | Tech | Med  | RUN_DOCKER_SQL_QUERY_TESTS=1: DEFERRED locally     | DEFERRED|
|                                                                               |      |      | (colima startup >60s; dev PR body: PASS)           |         |
| safesql aggregate wrapper on illinois_2                                       | Tech | Med  | safesql tool malfunction (silent tunnel fail)      | DEFERRED|
|                                                                               |      |      | (dev PR body: IL 0 -> 1,599, LI 14 -> 11,812)      |         |
| Known cosmetic edge: leading/trailing newline leaves bare <br>                | Tech | Info | Documented in SQL header; accepted (would require SQL 2022 TRIM(chars FROM)) | INFO |
| Other consumers of RESERVATIONNOTE / ITINERARYITEM                             | Tech | Low  | Diff: only rental_events_groups.sql changed        | PASS    |

Security regression matrix
| Item                                             | Type | Risk | Check                                          | Verdict |
|--------------------------------------------------|------|------|------------------------------------------------|---------|
| HTML injection via unescaped note content        | Sec  | High | 6-deep REPLACE nest: & first, then < and >, then newlines → <br>. Static spec pins the order. If reverted, notes with `<see contract>` would be sanitized by Salesforce rich-text | PASS |
| SQL injection surface                             | Sec  | Low  | Diff: no new param/interpolation               | PASS    |
| Secret / credential leak                          | Sec  | Low  | Diff review + no *.env/*key touched            | PASS    |
| PII exposure (notes may contain personal info)    | Sec  | Med  | Notes are user-typed plain text — same PII footprint as source. safesql redacts strings; wrapper is aggregate-only | PASS |
| RBAC / auth surface                               | Sec  | N/A  | No auth code touched                           | N/A     |
| Dependency addition                               | Sec  | N/A  | package.json untouched                         | N/A     |
