# OWASP Top 10 (2021) Scan — TR-071 / TC-64 / IM-916

PR scope: 6 new SQL files + 6 extractor.ts updates + 2 query-regression spec.ts + 5 docs/openspec.
Classification: SQL-only (with TS extractor wiring). No auth, no PII handling, no deps, no logging changes.

| ID  | Risk                       | Applicable | Check method                                                                 | Verdict | Evidence / Justification |
|-----|----------------------------|------------|------------------------------------------------------------------------------|---------|--------------------------|
| A01 | Broken Access Control      | No         | -                                                                            | N/A     | PR adds read-only Altru SQL extraction; no auth/permission surface touched |
| A02 | Cryptographic Failures     | No         | -                                                                            | N/A     | No credential or PII handling; queries are read-only against Altru source |
| A03 | Injection                  | Yes        | git diff grep for string concat in SELECT/INSERT/UPDATE/DELETE               | PASS    | The 2 `+` matches in diff are pure T-SQL output formatting (HTML row generation from REGISTRATIONINFORMATION) over compile-time literals; no user-controlled input |
| A04 | Insecure Design            | No         | -                                                                            | N/A     | Data migration extraction; no new business-logic threat surface |
| A05 | Security Misconfiguration  | No         | -                                                                            | N/A     | No config/infra/env files touched |
| A06 | Vulnerable Components      | No         | -                                                                            | N/A     | No package.json or package-lock.json changes in diff |
| A07 | Authentication Failures    | No         | -                                                                            | N/A     | No login/session/MFA/password-reset surfaces touched |
| A08 | Integrity Failures         | No         | -                                                                            | N/A     | No CI/CD pipelines, no deserialization, no plugin/update system changes |
| A09 | Logging Failures           | No         | -                                                                            | N/A     | No log statements added/removed/changed; PII-log grep returns 0 |
| A10 | SSRF                       | No         | -                                                                            | N/A     | No outbound HTTP calls introduced; SQL Server connection only |

Summary: 1 Applicable + PASS · 9 N/A · 0 FAIL · 0 blockers.
