IM-1160 / TC-140 — technical + security regression matrix
PR: MigrationToolETL #163 · base main (merge-base 0b8e9ce) · head 1672500

Item                                                      | Type | Risk   | Check method                                              | Verdict
----------------------------------------------------------|------|--------|-----------------------------------------------------------|--------
T1 membership_transactions.sql row grain unchanged         | Tech | High   | safesql aggregate PRE vs POST, total_opportunities        | PASS
T2 order-backed memberships keep their real SALESORDER.ID  | Tech | High   | safesql aggregate PRE vs POST, pos_real                   | PASS
T3 sibling sales_order_only_membership.sql unchanged       | Tech | Med    | safesql aggregate, sibling_rows / distinct / prefix       | PASS
T4 five NVARCHAR casts are load-bearing (IM-770 trap)      | Tech | High   | mutation test: remove each cast, expect suite FAIL        | PASS
T5 shared-CTE sync spec is non-vacuous                     | Tech | Med    | inject one-sided semantic drift, expect spec FAIL         | PASS
T6 shared fixture membership-program-linkage-query-fixture | Tech | Med    | run the consuming spec on PR head                          | PASS
T7 whole-repo suite blast radius                           | Tech | Med    | npm test on PR head vs merge-base                          | PASS (1 pre-existing env failure, identical at base)
T8 new migration object actually wired + exported          | Tech | High   | trace enum -> spec -> extractor -> registry -> module      | PASS
T9 15 new dockerized integration tests                     | Tech | Med    | npm run test:queries:docker                                | NOT RUN (environmental)
S1 hardcoded credentials / secrets in diff                 | Sec  | High   | grep diff for password/key/secret/token/BEGIN              | PASS (throwaway container password, randomUUID)
S2 SQL injection via string concatenation                  | Sec  | High   | grep diff for concatenated SQL with interpolation          | PASS (query read from file, filters parameterized)
S3 new vulnerable dependencies                             | Sec  | Med    | diff package.json / package-lock.json                      | PASS (zero dependency changes)
S4 new PII columns exported                                | Sec  | Med    | grep new SQL projections for SSN/EMAIL/PHONE/BIRTH/CARD    | PASS (only a boolean notification flag)
S5 synthetic keys collide with real SALESORDER.ID          | Sec  | Med    | prefix check on both query outputs                         | PASS (0 prefixed rows in sibling output)
