IM-1148 / TC-139 · matriz de regresion (tecnica + seguridad)
=============================================================
Item                                          | Tipo     | Riesgo | Metodo                                  | Veredicto
----------------------------------------------|----------|--------|-----------------------------------------|----------
Suite query-regression completa               | Tecnica  | Alto   | npm test -- --runInBand query-regression | PASS (386)
Suite completa del repo (radio de impacto)    | Tecnica  | Medio  | npm test                                 | PASS (408, 0 del PR)
lint:check                                    | Tecnica  | Bajo   | npm run lint:check                       | PASS
build                                         | Tecnica  | Bajo   | npm run build                            | PASS
Revert-proof de los asserts nuevos            | Tecnica  | Alto   | restaurar SQL base + correr spec         | PASS (4/4 caen)
Lado Charge conserva NULL en su fecha tecnica | Tecnica  | Alto   | contrato estatico + no tocado por el PR  | PASS
fund_assignment_payments sin cambios          | Tecnica  | Medio  | contrato estatico + no tocado por el PR  | PASS
Grano de filas y nulos PRE/POST (tucson)      | Tecnica  | Alto   | safesql agregado (query real envuelta)   | PASS
Tipo declarado de columnas PRE/POST           | Tecnica  | Alto   | describe_first_result_set via safesql    | PASS (tucson)
Secretos/credenciales en el diff              | Seguridad| Alto   | grep del diff                            | PASS (0)
Inyeccion / SQL dinamico                      | Seguridad| Alto   | grep EXEC/sp_executesql/concatenacion    | PASS (0)
PII nueva emitida                             | Seguridad| Medio  | grep de columnas sensibles en el diff    | PASS (0)
Dependencias vulnerables                      | Seguridad| Bajo   | el PR no toca package.json               | N/A
