OWASP Top 10 (2021) applicability scan — PR #141 / IM-960

Surface: SQL-only query change in fund_assingments_donation_refunds.sql + 3 regression spec/fixture files.
Base: main; Head: 168f78e4a5503fbe0e70e6b2ad8e0cc8f7ee2193

| ID  | Risk                        | Applicable | Check method                                    | Verdict | Evidence / Justification |
|-----|-----------------------------|------------|-------------------------------------------------|---------|--------------------------|
| A01 | Broken Access Control       | No         | -                                               | N/A     | PR is a backend SQL query change; no auth/RBAC/profile/route surface touched |
| A02 | Cryptographic Failures      | No         | -                                               | N/A     | No credential/PII/TLS/hashing surface touched |
| A03 | Injection                   | Yes        | grep for string-concat SQL in diff              | PASS    | Diff uses only SQL Server @variables (DECLARE + parameterized) and CTE joins; no `+`-string concatenation with user input. safesql itself binds params. Grep returned 0 hits. |
| A04 | Insecure Design             | No         | -                                               | N/A     | Bug fix in an existing extractor; no new business logic surface introduced |
| A05 | Security Misconfiguration   | No         | -                                               | N/A     | No config/env/CORS/headers/error-verbosity files touched |
| A06 | Vulnerable/Outdated Comps   | No         | git diff package.json package-lock.json         | N/A     | Diff shows 0 lockfile / manifest changes |
| A07 | Auth Failures               | No         | -                                               | N/A     | No login/session/MFA/token surface touched |
| A08 | Integrity Failures          | No         | -                                               | N/A     | No CI/CD, deserialization, plugin, or package-signing surface touched |
| A09 | Logging Failures            | No         | -                                               | N/A     | Query change does not touch logging config or add PII-carrying log statements |
| A10 | SSRF                        | No         | -                                               | N/A     | No new outbound HTTP calls introduced |

Summary: 1 Applicable + PASS (A03 Injection). 9 N/A. 0 Applicable + FAIL. 0 blockers.
