Regression matrix — TR-161 / TC-146 / IM-1176 NPS admin management interface
Executed 2026-08-14 against 4 PRs (survey-tool #56 MERGED + #59 MERGED + #57/#60 promotion to staging MERGED + #58 staging→main OPEN).

| # | Item                                                                 | Type      | Risk  | Check method                                                                                          |
|---|----------------------------------------------------------------------|-----------|-------|--------------------------------------------------------------------------------------------------------|
| 1 | Organizations sortable headers work (toggle asc/desc + clear)        | Technical | High  | Live DOM audit dev + click Identifier → verify aria-sort flips.                                        |
| 2 | Env-conditional buttons: dev=Load sample, stg=neither, prd=Sync SF   | Technical | High  | Live top-bar audit en dev + stg. Prd DEFERRED por PR #58 OPEN.                                          |
| 3 | Sample data no se persiste al backend (sessionStorage only)          | Technical | High  | Verificar GET /api/admin/organizations post-Load-sample sigue devolviendo 2 orgs (no las 4 samples).   |
| 4 | Survey form guided workflow (4 secciones numeradas + anchor links)  | Technical | High  | Live DOM audit dev — form headings "Setup/Audience/Questions/Review" + anchors "1./2./3./4.".         |
| 5 | General survey forced to afterLogin (código + tests)                 | Technical | High  | Code review de `supportedGeneralSurveyDeliveryMode` + unit test suite.                                 |
| 6 | Subject form grouped + slug validation (client + server)             | Technical | High  | Live DOM audit dev — form headings "Classification/Subject type/Details/Review" + code review de regex.|
| 7 | Sync page eliminada (nav + URL directa)                              | Technical | High  | Live nav en dev + stg → sin "Sync". Live /admin/sync → /admin/dashboard.                              |
| 8 | Dashboard tabs Summary/Responses + persistencia via ?tab= param      | Technical | Med   | Live click en cada tab + verificar aria-selected + URL search param.                                   |
| 9 | Dashboard filters aplicables + Export CSV present                    | Technical | Med   | Live DOM audit región "Dashboard filters" + botón "Export CSV" en Responses.                           |
|10 | CI verde en survey-tool #56 + #59 + #57/#60 + #58                    | Technical | High  | `gh pr checks` en cada PR.                                                                              |
|11 | Secrets / PII / credentials en el diff                                | Security  | High  | `git diff` PR #56 + #59 → grep secrets pattern.                                                        |
|12 | Injection surfaces en la nueva UI                                    | Security  | Med   | Read organizationSorting.ts / subjectForm.ts — no user-input concat en queries.                        |
|13 | Vulnerabilidades de dependencias nuevas                              | Security  | Med   | `gh pr diff --name-only` → verificar si tocaron package(-lock).json.                                    |
|14 | Auth bypass — admin routes siguen protegidas                          | Security  | Med   | Live: navegar a /admin/organizations en incognito → redirect a /login.                                 |
|15 | Responsive layout en mobile (375px)                                   | Technical | Low   | Code review: max-w-* + flex-col sm:flex-row + overflow-x-auto en tablas.                                |

Verdicts recorded en `regression-results.txt`.
