PLAN DE REGRESION · TR-204 · TC-186 · IM-1207 (fijado antes de ejecutar; veredictos en regression-results.txt)
Item | Tipo | Riesgo | Metodo
T1 Suites del backend (raiz + Lambdas) en main | tecnica | alto | jest completo, repetir aislado lo que falle
T2 Suite del frontend en main | tecnica | alto | vitest completo aislado
T3 Once bancos de simulacion sobre Postgres real | tecnica | alto | npm run csm-os:simulate:all en PG16 local
T4 Los bancos pueden fallar | tecnica | alto | mutaciones M1 (sin abstencion) y M2 (supresion abierta)
T5 Inventario generado del catalogo al dia | tecnica | medio | csm-os:catalog:doc --check + control positivo
T6 Orden y estado de despliegue BE/FE | tecnica | alto | gh run list + describe-stacks (solo metadatos)
T7 Jugadas y datos de otros en dev no se alteran | tecnica | medio | pares que no casan con la jugada activa ajena; inventario antes/despues
T8 changed_account_ids ampliado (272d1415) ya en prod | tecnica | medio | solo documental: prod no se lee
S1 Control de acceso de rutas nuevas | seguridad | alto | sondeo sin credenciales + JWT falso + control negativo 404
S2 Grupos del gate | seguridad | medio | codigo del guard + grupos del pool de dev (metadatos)
S3 Inyeccion en el compilador de condiciones | seguridad | alto | revision de condition.ts: bind() e identifier()
S4 Dependencias vulnerables nuevas | seguridad | medio | npm audit --omit=dev + comparacion con stable
S5 Secretos o PII en la evidencia | seguridad | alto | barrido con control positivo + nombres de las 243 cuentas en memoria
