TC-151 / IM-1200 — matriz de regresion (tecnica + seguridad). Verdicts en regression-results.txt.

Item                                               | Tipo      | Riesgo | Metodo de chequeo                                  | Verdict
---------------------------------------------------+-----------+--------+----------------------------------------------------+--------
donation_pledges.sql intacto                       | tecnica   | alto   | gh pr diff --name-only (no tocado)                 | ver results
POS queries hermanos intactos (membership2, donation2, sales_order, rentals) | tecnica | alto | diff name-only + suite 553 | ver results
charge_without_order: solo familia 3 (CTE PledgeTransactions) cambia | tecnica | alto | lectura del diff + 22 tests del spec | ver results
Suite query-regression completa en branch          | tecnica   | alto   | npm run test:queries                               | ver results
Conservacion pledge POS (filas/montos/dupes) tucson| tecnica   | alto   | wrapper agregado safesql (snapshot unico PRE/POST) | ver results
Baselines charge_without_order por tenant          | tecnica   | medio  | wrapper agregado safesql PRE/POST                  | ver results
Hazard corrida windowed (donation_pledges sin filtro fechas) | tecnica | alto | fuera de scope PR #170 - riesgo documentado, ticket aparte | ver results
Secretos/credenciales en el diff                   | seguridad | alto   | grep secretos sobre gh pr diff                     | ver results
Inyeccion SQL (queries estaticos, params bindeados)| seguridad | alto   | lectura diff: bindDateFilterParams, sin concat dinamica | ver results
Dependencias vulnerables                           | seguridad | medio  | diff package*: 0 cambios                           | ver results
RBAC / PII                                          | seguridad | bajo   | superficie: SQL migracion + specs de test          | ver results
