REGRESSION RESULTS — TR-144
Item                                                       | Type      | Risk | Method                                     | Verdict
-----------------------------------------------------------|-----------|------|--------------------------------------------|--------
Otros queries afectados por el cambio de base neta          | Technical | Med  | full query-regression (303 tests)          | PASS (0 fail)
Regresion IM-809 / TC-37 (POS_Discount propagation)         | Technical | HIGH | Item_Price__c sigue derivado del gross      | PASS (sin cambio; comentario + guard en el spec)
Lineas con unit rows alteradas (do-no-harm)                 | Technical | HIGH | live tucson unit_lines_changed = 0          | PASS
Montos negativos tras el neteo                              | Technical | HIGH | live tucson post_negative = 0               | PASS
gross NULL -> comportamiento pre-fix (0), no negativo       | Technical | Med  | fast spec + live null_gross_lines = 0       | PASS
Grain / row-count alterado                                  | Technical | Med  | live 1,827 lineas antes y despues           | PASS
Rollups padre desalineados                                  | Technical | Med  | live reconciliacion 1481/1481, varianza 0   | PASS
Identidad TOTAL = SUM(AMOUNTPAID) + descuentos              | Technical | Med  | live identity_violations = 0 (5 lineas)     | PASS
Secrets / credenciales en el diff                           | Security  | Low  | git diff grep (excl. testcontainers)        | PASS (none)
SQL injection (dynamic SQL / concat de params)              | Security  | Low  | grep EXEC/sp_executesql/concat en shop/*.sql| PASS (CAST/COALESCE de columnas)
Build / lint                                                | Technical | Low  | npm run build + lint:check                  | PASS (ambos exit 0)
