TC-174 / TR-191 — matriz de regresion tecnica y de seguridad
============================================================
Planificada antes de ejecutar; los veredictos se llenaron despues.

  item                                              | tipo     | riesgo | metodo                          | veredicto
  --------------------------------------------------|----------|--------|---------------------------------|----------
  1. Declinar deja el registro y es restaurable      | tecnica  | alto   | harness ejecutado + UI en vivo  | PASS
  2. Completar / reabrir limpia resolved_at          | tecnica  | medio  | harness ejecutado + UI          | PASS
  3. Aceptar NO crea caso de Salesforce              | tecnica  | alto   | traza de red en vivo            | PASS
  4. Suggested -> Done sigue prohibido               | tecnica  | alto   | API en vivo (409)               | PASS
  5. Restaurar devuelve al estado previo, no a New   | tecnica  | alto   | UI en vivo + harness            | PASS
  6. La consulta del reporte sigue cuadrando         | tecnica  | medio  | query documentada + fixture QA  | PASS
  7. Las vistas siguen excluyendo lo borrado/expirado| tecnica  | medio  | harness (view filters)          | PASS
  8. La fila de auditoria se escribe en la misma tx  | tecnica  | alto   | harness + mutacion M2           | PASS
  9. Badge del portafolio con tope (follow-up R12)   | tecnica  | medio  | API en vivo                     | PASS
  10. Lista de acciones de My Day sin tope           | tecnica  | medio  | API en vivo                     | ABIERTO (backlog 18)
  11. Etiqueta de la pestaña Deleted                 | tecnica  | bajo   | UI en vivo + API                | FAIL (defecto)
  --------------------------------------------------|----------|--------|---------------------------------|----------
  S1. Autorizacion por owner en /csm/tasks           | seguridad| alto   | revision + sesion admin         | ABIERTO, preexistente
  S2. `reason` de decline se guarda sin sanear       | seguridad| bajo   | revision de render              | PASS
  S3. Ids de tarea son UUID, no enumerables          | seguridad| bajo   | observacion                     | PASS
  S4. Secretos / PII en el diff o en la evidencia    | seguridad| alto   | revision                        | PASS
  S5. La regeneracion forzada queda atribuida        | seguridad| medio  | harness + esquema               | PASS
