## OWASP Top 10 (2021) applicability scan

| # | Category                                       | Applicable? | Check method                                                                     | Verdict |
|---|------------------------------------------------|-------------|----------------------------------------------------------------------------------|---------|
| A01 | Broken Access Control                        | N/A         | No auth changes in scope; SQL query fix on backend pipeline                     | N/A     |
| A02 | Cryptographic Failures                       | N/A         | No key/crypto operations in scope                                                | N/A     |
| A03 | Injection                                    | Applicable  | Typed @params via mssql lib; CTE joins are pure SQL; no string concat            | PASS    |
| A04 | Insecure Design                              | N/A         | Design change is data-shape (adjustment modeling), not security-relevant         | N/A     |
| A05 | Security Misconfiguration                    | N/A         | No infra/config touched                                                          | N/A     |
| A06 | Vulnerable and Outdated Components           | Applicable  | No new dependencies added; existing audit stays clean                            | PASS    |
| A07 | Identification and Authentication Failures   | N/A         | No auth flow touched                                                             | N/A     |
| A08 | Software and Data Integrity Failures         | Applicable  | CI signed; 4 review rounds with mutation tests; 22 fixture scenarios pinned      | PASS    |
| A09 | Security Logging and Monitoring Failures     | N/A         | No logging change in scope                                                       | N/A     |
| A10 | Server-Side Request Forgery                  | N/A         | No outbound HTTP added                                                           | N/A     |

Summary: 3 Applicable · 3 PASS · 0 FAIL · 7 N/A. No High/Critical blockers.
