Regression plan — IM-919 / PR #134 (contact_roles.sql)

TECHNICAL
| Item | Risk | Check method | Verdict |
| contact-role.mapper.ts maps row.Role verbatim to OpportunityContactRole.Role | High | read mapper; check whitelist/transform | PASS (pass-through, no break) BUT exposes picklist risk -> see DEFECT |
| contact-role consumers (extractor/pipeline/specification/entity) | Medium | confirm none changed; confirm no role enum | PASS (no consumer changed; no role enum/whitelist) |
| New CTEs (EligibleMembershipRoleContext/RoleCandidates) leak to other queries | Low | grep src/**/*.sql | PASS (only contact_roles.sql references them) |
| Row-cardinality change (member-only -> member+donor) breaks (Opp,Contact) uniqueness | High | post-fix dupcheck + doubleprimary runners on tucson | BLOCKED (safesql prod auth needed) — runners prepared, dev dedupe test PASS |
| buyer==member cases get duplicated | Medium | post-fix vs baseline row counts | BLOCKED (safesql prod auth) — covered by dev dedupe spec PASS |

SECURITY
| Item | Risk | Check method | Verdict |
| String-concatenated dynamic SQL | High | git diff grep (SELECT/INSERT/UPDATE/DELETE)+concat | PASS (none; date filters use @params) |
| Secrets/keys in diff | High | git diff grep password/secret/token/BEGIN | PASS (none) |
| PII in logs | Medium | grep console.log/print near email/phone | PASS (SQL-only; no logging added) |
| New dependencies / advisories | Low | git diff package.json/lock; npm audit | PASS (no dep change; 70 advisories are pre-existing) |
| Auth/RBAC/permissions touched | High | diff for profiles/permsets/sharing | PASS (none) |
