TR-173 · TC-156 (IM-1206) · Regression plan

Change scope: SQL query fix on 3 archivos + docs + 3 spec files (+249/-12 total).

Main SQL changes:
  - membership_transactions.sql (+44/-5): OwnFinancialTransactionDate added to
    #MembershipLineItems CTE; OwnRevenueIdLegacy added to #OrderBackedMembershipFinancialCandidates
    CTE (new LEFT JOIN on FK→PK); Revenue_ID_legacy__c COALESCE gains NULLIF(mli.Revenue_ID_legacy__c, '')
    at position #2; CloseDate COALESCE gains mli.OwnFinancialTransactionDate at position #2
    (both recurring and non-recurring branches).
  - fund_assignment_memberships.sql (+11/-2): Revenue_ID_legacy__c alineado con date que IM-1205 movió.
  - sales_order_only_membership2.sql (+7/-1): emite el Order id (bijection AGENTS.md).

Docs (+7/-1): docs/altru-model-context.md — marks IM-1205 scope note superseded.

Specs (+180 combinado): membership-transactions-query.spec.ts (+125 nuevo, 53 tests total),
fund-assignment-memberships-query.spec.ts (+36/-3), pos-purchase-membership-no-order-query.spec.ts (+19).

Technical regression matrix
| Item                                                                          | Type | Risk | Check                                              | Verdict |
|-------------------------------------------------------------------------------|------|------|----------------------------------------------------|---------|
| Owning-transaction anchor in 3 exports                                        | Tech | High | Static specs pin the COALESCE structure            | PASS    |
| Row grain preserved (LEFT JOIN own_src_ft on FK→PK)                            | Tech | High | Diff review + FINANCIALTRANSACTION.ID is PK        | PASS    |
| No new WHERE clauses                                                          | Tech | High | Diff review — 0 WHERE added                        | PASS    |
| NULLIF wrap on empty-string rev ids (Round 1)                                 | Tech | High | Static spec + diff review                          | PASS    |
| CloseDate COALESCE: mli.OwnFinancialTransactionDate at position #2             | Tech | High | Static spec pins the string                        | PASS    |
| Revenue_ID_legacy__c COALESCE: NULLIF(mli.Revenue_ID_legacy__c,'') at #2      | Tech | High | Static spec + diff                                 | PASS    |
| Long Island grain (dev): Opp 97,047/97,047, FA 97,014/97,004, POS 51,482/51,482 | Tech | High | Dev-measured; safesql wrapper DEFERRED             | INHERITED |
| Long Island blank rev IDs: Opp 68→31, FA 37→0                                  | Tech | High | Dev-measured                                        | INHERITED |
| 33 CloseDates cambian, 42,610 Revenue IDs cambian (dev)                        | Tech | High | Dev-measured                                        | INHERITED |
| rev-10970978 + rev-10059401 end-to-end                                         | Tech | High | Dev-verified prod (read-only) + static             | INHERITED |
| Full query-regression suite (577 tests dev, 577 local)                         | Tech | High | jest 577 PASS local                                 | PASS    |
| Revert-proof (2/53 membership-transactions tests fail when CloseDate reverted)| Tech | High | Manual revert + jest                                | PASS    |
| Docker integration                                                             | Tech | Med  | RUN_DOCKER_SQL_QUERY_TESTS=1: 15/113 FAIL local    | DEFERRED |
| safesql aggregate wrapper                                                      | Tech | Med  | safesql tool silent tunnel fail                     | DEFERRED |
| Reverses IM-1205 preference (Revenue_ID follows Order not Payment)             | Tech | Med  | Spec assertion rewrite in PR (dev-verified)         | PASS    |
| 11 mutations caught (dev-run author + reviewer)                                | Tech | High | Dev-inherited                                       | INHERITED |

Security regression matrix
| Item                                             | Type | Risk | Check                                          | Verdict |
|--------------------------------------------------|------|------|------------------------------------------------|---------|
| SQL injection surface                             | Sec  | Low  | Diff: no new params, no interpolation          | PASS    |
| Secret / credential leak                          | Sec  | Low  | No *.env/*key touched                          | PASS    |
| PII exposure (donor-facing rev IDs)               | Sec  | Low  | IDs are opaque revenue references, not PII     | PASS    |
| RBAC / auth surface                               | Sec  | N/A  | No auth code touched                           | N/A     |
| Dependency addition                               | Sec  | N/A  | package.json untouched                         | N/A     |
